"Invested In","NSE Code","BSE Code","Sector","Market Value Latest Price","Value as of <br> 31 May, 2025","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Digitide Solutions","","544413","","193427978.25","129444000","0.11","888303","","","/mutual-fund/holding-history/189268/3135582/"
"Aegis Vopak Termin","AEGISVOPAK","544407","","125167054.95","119995000","0.1","510615","510615","New","/mutual-fund/holding-history/189268/3113228/"
"AstraZeneca Pharma India Ltd","ASTRAZEN","506820","Healthcare","127937562","114972000","0.1","14422","","","/mutual-fund/holding-history/189268/124/"
"Chemplast Sanmar Ltd","CHEMPLASTS","543336","Basic Materials","110746949.2","113597000","0.1","267634","","","/mutual-fund/holding-history/189268/623875/"
"IRM Energy Ltd","IRMENERGY","544004","Utilities","112872118.5","111414000","0.09","393969","","","/mutual-fund/holding-history/189268/1748143/"
"Yatra Online Ltd","YATRA","543992","Consumer Cyclical","97175005.07","111301000","0.09","1114009","","","/mutual-fund/holding-history/189268/1690560/"
"Orchid Pharma Ltd","ORCHPHARMA","524372","Healthcare","119901725.8","109290000","0.09","173821","","","/mutual-fund/holding-history/189268/980/"
"MOIL Ltd","MOIL","533286","Basic Materials","100430561","104836000","0.09","277970","","","/mutual-fund/holding-history/189268/872/"
"Landmark Cars Ltd","LANDMARK","543714","Consumer Cyclical","120103158","104805000","0.09","228333","","","/mutual-fund/holding-history/189268/1241144/"
"Godavari Biorefineries Ltd","GODAVARIB","544279","Basic Materials","91643994.9","100169000","0.09","351261","","","/mutual-fund/holding-history/189268/2729499/"
"Central Depository Services (India) Ltd","CDSL","","Financial Services","105079285.6","95349000","0.08","62332","-21668","-25.8","/mutual-fund/holding-history/189268/53219/"
"360 One Wam Ltd Ordinary Shares","360ONE","542772","Financial Services","106316953.5","93248000","0.08","93486","","","/mutual-fund/holding-history/189268/166089/"
"Gujarat State Petronet Ltd","GSPL","532702","Utilities","87762470.4","91087000","0.08","277028","-6782","-2.39","/mutual-fund/holding-history/189268/502/"
"Metropolis Healthcare Ltd","METROPOLIS","542650","Healthcare","87670397.4","85428000","0.07","50847","","","/mutual-fund/holding-history/189268/139598/"
"Arvind Fashions Ltd","ARVINDFASN","542484","Consumer Cyclical","84485821.2","79261000","0.07","172139","2075","1.22","/mutual-fund/holding-history/189268/130968/"
"Suryoday Small Finance Bank Ltd","SURYODAY","543279","Financial Services","64841609.45","65022000","0.06","462989","149895","47.88","/mutual-fund/holding-history/189268/447586/"
"Laxmi Dental Ltd","LAXMIDENTL","544339","Healthcare","65158773.3","61732000","0.05","160866","","","/mutual-fund/holding-history/189268/2916661/"
"Stl Networks Limit","","","","","61016000","0.05","2359469","","",""
"KRN Heat Exchanger and Refrigeration Ltd","KRN","544263","Technology","64569541.95","60522000","0.05","79047","","","/mutual-fund/holding-history/189268/2656551/"
"Rishabh Instruments Ltd","RISHABH","543977","Technology","50647700.6","52792000","0.04","177961","","","/mutual-fund/holding-history/189268/1650515/"
"Dam Capital Advisors Ltd","DAMCAPITAL","544316","Financial Services","44565319.2","47944000","0.04","178404","","","/mutual-fund/holding-history/189268/2863353/"
"UPL Ltd Ordinary Shares (Partly Paid Rs.1)","UPLPP1","890209","Basic Materials","41546635.2","41195000","0.04","100512","","","/mutual-fund/holding-history/189268/2889731/"
"GNA Axles Ltd","GNA","540124","Consumer Cyclical","37095563.05","40570000","0.03","118573","","","/mutual-fund/holding-history/189268/4710/"
"Butterfly Gandhimathi Appliances Ltd","BUTTERFLY","517421","Consumer Cyclical","36591624.9","39214000","0.03","51013","","","/mutual-fund/holding-history/189268/227/"
"Mahindra Lifespace Developers Limited **","","","","","27447000","0.02","305308","305308","New",""
"Religare Enterprises Ltd","RELIGARE","532915","Financial Services","21581520.81","22134000","0.02","95871","","","/mutual-fund/holding-history/189268/1128/"
"Jindal Saw Ltd","JINDALSAW","500378","Basic Materials","14371200","12714000","0.01","60000","60000","New","/mutual-fund/holding-history/189268/676/"
"Windlas Biotech Ltd","WINDLAS","543329","Healthcare","942770.4","973000","0","1066","1066","New","/mutual-fund/holding-history/189268/616415/"
"PG Electroplast Ltd","PGEL","533581","Technology","729787.8","761000","0","987","-183000","-99.46","/mutual-fund/holding-history/189268/1031/"
